"AÑO","GÉNERO","NACIONALIDAD","PAÍS","ESTADO DE ORIGEN","EDAD","CATEGORÍA","DIALECTO","NIVEL","SEDE","UNIDAD ACADÉMICA","PROGRAMA EDUCATIVO","GRADO","NÚMERO DE ALUMNOS"
"2010","H","AFGANA","AFGANISTÁN","EXTRANJERO","26","COMPLETO","","MAESTRÍA","CHAPINGO","DEIS EN FITOTECNIA","MAESTRÍA EN CIENCIAS EN HORTICULTURA","14","1"
"2010","H","BELGA","BÉLGICA","EXTRANJERO","27","COMPLETO","","MAESTRÍA","CHIAPAS","DIRECCIÓN DE CENTROS REGIONALES","MAESTRÍA EN CIENCIAS EN DESARROLLO RURAL REGIONAL","13","1"
"2010","H","BOLIVIANA","BOLIVIA","EXTRANJERO","35","COMPLETO","","DOCTORADO","CHAPINGO","DEIS EN IRRIGACIÓN","DOCTORADO EN INGENIERÍA AGRÍCOLA Y USO INTEGRAL DEL AGUA","13","1"
"2010","H","BOLIVIANA","BOLIVIA","EXTRANJERO","35","COMPLETO","","DOCTORADO","CHAPINGO","DEIS EN SOCIOLOGÍA RURAL","DOCTORADO EN CIENCIAS EN CIENCIAS AGRARIAS","16","1"
"2010","H","BOLIVIANA","BOLIVIA","EXTRANJERO","31","COMPLETO","","DOCTORADO","CHAPINGO","DEIS EN IRRIGACIÓN","DOCTORADO EN INGENIERÍA AGRÍCOLA Y USO INTEGRAL DEL AGUA","16","1"
"2010","H","BRASILEÑA","BRASIL","EXTRANJERO","26","COMPLETO","","MAESTRÍA","CHAPINGO","DEIS EN ZOOTECNIA","MAESTRÍA EN CIENCIAS EN INNOVACIÓN GANADERA","14","1"
"2010","H","COLOMBIANA","COLOMBIA","EXTRANJERO","37","COMPLETO","","DOCTORADO","CHAPINGO","CENTRO DE INVESTIGACIONES ECONÓMICAS, SOCIALES Y TECNOLÓGICAS DE LA AGROINDUSTRIA Y LA AGRICULTURA MUNDIAL","DOCTORADO EN PROBLEMAS ECONÓMICO AGROINDUSTRIALES","12","1"
"2010","H","COLOMBIANA","COLOMBIA","EXTRANJERO","31","COMPLETO","","MAESTRÍA","CHAPINGO","DEIS EN IRRIGACIÓN","MAESTRÍA EN INGENIERÍA AGRÍCOLA Y USO INTEGRAL DEL AGUA","11","1"
"2010","H","COLOMBIANA","COLOMBIA","EXTRANJERO","28","COMPLETO","","DOCTORADO","CHAPINGO","DEIS EN SOCIOLOGÍA RURAL","DOCTORADO EN CIENCIAS EN CIENCIAS AGRARIAS","12","1"
"2010","H","CUBANA","CUBA","EXTRANJERO","52","COMPLETO","","DOCTORADO","CHAPINGO","DEIS EN IRRIGACIÓN","DOCTORADO EN INGENIERÍA AGRÍCOLA Y USO INTEGRAL DEL AGUA","11","1"
